target,model,rank,lat,lon,unit,abs_err_late_mean
tas,RF,1,71.05263157894737,347.5,K,1.448407530784607
tas,RF,2,71.05263157894737,350.0,K,1.3722056150436401
tas,RF,3,71.05263157894737,345.0,K,1.2118339538574219
tas,RF,4,72.94736842105263,352.5,K,1.2016078233718872
tas,RF,5,69.15789473684211,345.0,K,1.1841093301773071
dtr,RF,1,21.78947368421052,97.5,K,1.743564486503601
dtr,RF,2,4.73684210526315,12.5,K,1.0169059038162231
dtr,RF,3,31.263157894736835,115.0,K,0.9449657201766968
dtr,RF,4,-31.263157894736842,27.5,K,0.8663671016693115
dtr,RF,5,4.73684210526315,15.0,K,0.864030659198761
pr,RF,1,-2.8421052631579045,175.0,mm/day,2.7125751972198486
pr,RF,2,-2.8421052631579045,172.5,mm/day,2.70963716506958
pr,RF,3,-2.8421052631579045,177.5,mm/day,2.6910107135772705
pr,RF,4,-2.8421052631579045,170.0,mm/day,2.64337420463562
pr,RF,5,-0.9473684210526301,172.5,mm/day,2.627415657043457
pr90,RF,1,-0.9473684210526301,175.0,mm/day,6.932980537414551
pr90,RF,2,-2.8421052631579045,175.0,mm/day,6.9214396476745605
pr90,RF,3,-2.8421052631579045,180.0,mm/day,6.9168782234191895
pr90,RF,4,-0.9473684210526301,172.5,mm/day,6.836508750915527
pr90,RF,5,-2.8421052631579045,177.5,mm/day,6.830637454986572
tas,CNN,1,88.10526315789474,357.5,K,3.563746452331543
tas,CNN,2,88.10526315789474,0.0,K,3.5499045848846436
tas,CNN,3,86.21052631578945,0.0,K,3.391481876373291
tas,CNN,4,84.31578947368419,0.0,K,3.3777289390563965
tas,CNN,5,82.42105263157893,0.0,K,3.3676531314849854
dtr,CNN,1,21.78947368421052,97.5,K,1.713902473449707
dtr,CNN,2,29.368421052631575,82.5,K,1.6497306823730469
dtr,CNN,3,46.42105263157893,7.5,K,1.2790051698684692
dtr,CNN,4,55.89473684210526,270.0,K,1.2778620719909668
dtr,CNN,5,-25.578947368421055,292.5,K,1.2299485206604004
pr,CNN,1,-2.8421052631579045,175.0,mm/day,2.71401047706604
pr,CNN,2,-2.8421052631579045,172.5,mm/day,2.707108497619629
pr,CNN,3,-2.8421052631579045,177.5,mm/day,2.69748854637146
pr,CNN,4,-0.9473684210526301,172.5,mm/day,2.6573314666748047
pr,CNN,5,-0.9473684210526301,175.0,mm/day,2.6562042236328125
pr90,CNN,1,-2.8421052631579045,180.0,mm/day,7.139937400817871
pr90,CNN,2,-0.9473684210526301,175.0,mm/day,7.13717794418335
pr90,CNN,3,-0.9473684210526301,177.5,mm/day,7.056319713592529
pr90,CNN,4,-2.8421052631579045,175.0,mm/day,7.028100490570068
pr90,CNN,5,-0.9473684210526301,172.5,mm/day,7.011958122253418
tas,RNN,1,82.42105263157893,0.0,K,2.390998601913452
tas,RNN,2,88.10526315789474,17.5,K,2.2567505836486816
tas,RNN,3,80.52631578947367,0.0,K,2.16164231300354
tas,RNN,4,88.10526315789474,357.5,K,2.1106019020080566
tas,RNN,5,88.10526315789474,290.0,K,2.0988283157348633
dtr,RNN,1,21.78947368421052,97.5,K,1.7496600151062012
dtr,RNN,2,-2.8421052631579045,22.5,K,1.1146972179412842
dtr,RNN,3,4.73684210526315,12.5,K,1.104223608970642
dtr,RNN,4,33.157894736842096,82.5,K,0.9918065071105957
dtr,RNN,5,0.9473684210526301,20.0,K,0.924065887928009
pr,RNN,1,-2.8421052631579045,175.0,mm/day,2.6180903911590576
pr,RNN,2,-2.8421052631579045,172.5,mm/day,2.615046262741089
pr,RNN,3,-2.8421052631579045,177.5,mm/day,2.6073732376098633
pr,RNN,4,-2.8421052631579045,170.0,mm/day,2.561856508255005
pr,RNN,5,-0.9473684210526301,172.5,mm/day,2.553405284881592
pr90,RNN,1,-2.8421052631579045,180.0,mm/day,6.77777099609375
pr90,RNN,2,-0.9473684210526301,175.0,mm/day,6.772211074829102
pr90,RNN,3,-2.8421052631579045,175.0,mm/day,6.731804847717285
pr90,RNN,4,-0.9473684210526301,172.5,mm/day,6.714968204498291
pr90,RNN,5,-0.9473684210526301,177.5,mm/day,6.714954376220703
