target,unit,model,RMSE_base,RMSE_boosted,improvement_vs_base,RMSE_RF_ref,improvement_vs_RF,residual_RF_seconds,clip,base_train_kind
tas,K,CNN_old,0.8835857339733166,,,0.4124883584349932,-0.4710973755383234,0.0,0.0,-
tas,K,RNN_old,0.6308809830643396,,,0.4124883584349932,-0.2183926246293464,0.0,0.0,-
tas,K,CNN_super,1.0538485291897088,0.9593616919525237,0.0944868372371851,0.4124883584349932,-0.5468733335175305,4.095264434814453,1.6414822340011597,REAL(npy)
tas,K,RNN_super,0.7416523744963263,0.6697157023209863,0.07193667217533994,0.4124883584349932,-0.2572273438859931,3.5882601737976074,1.3418666124343872,REAL(npy)
dtr,K,CNN_old,0.1944618806084017,,,0.15296423075530058,-0.041497649853101115,0.0,0.0,-
dtr,K,RNN_old,0.16542589876349414,,,0.15296423075530058,-0.012461668008193566,0.0,0.0,-
dtr,K,CNN_super,0.1968408006336158,0.1974696460358104,-0.0006288454021945999,0.15296423075530058,-0.04450541528050983,3.6305131912231445,0.4048812687397003,REAL(npy)
dtr,K,RNN_super,0.1727783840546464,0.17096988236485217,0.0018085016897942396,0.15296423075530058,-0.018005651609551587,3.6888811588287354,0.3379044234752655,REAL(npy)
pr,mm/day,CNN_old,0.5669624301821115,,,0.5358541656462865,-0.031108264535824937,0.0,0.0,-
pr,mm/day,RNN_old,0.5476517938606438,,,0.5358541656462865,-0.011797628214357259,0.0,0.0,-
pr,mm/day,CNN_super,0.560865391036131,0.5608051198496696,6.027118646134699e-05,0.5358541656462865,-0.024950954203383113,3.5376977920532227,0.9037247896194458,REAL(npy)
pr,mm/day,RNN_super,0.5501207283115648,0.5477381183752835,0.0023826099362812547,0.5358541656462865,-0.011883952728997005,3.8053576946258545,0.8444668650627136,REAL(npy)
pr90,mm/day,CNN_old,1.6496117931166703,,,1.5397733355022203,-0.10983845761444999,0.0,0.0,-
pr90,mm/day,RNN_old,1.5785973251789136,,,1.5397733355022203,-0.038823989676693316,0.0,0.0,-
pr90,mm/day,CNN_super,1.6134985409475433,1.6108614965471415,0.0026370444004018,1.5397733355022203,-0.07108816104492122,3.5982754230499268,2.62206768989563,REAL(npy)
pr90,mm/day,RNN_super,1.5906899165872135,1.5852238171371982,0.005466099450015305,1.5397733355022203,-0.04545048163497789,3.673875331878662,2.4534542560577393,REAL(npy)
