target,model,unit,rmse_early_mean,rmse_late_mean,gm_bias_late_mean
tas,RF,K,0.3559962809085846,0.41248834133148193,-0.08792281150817871
tas,CNN,K,0.5966064929962158,0.8835857510566711,-0.6402045488357544
tas,RNN,K,0.4140211045742035,0.6308810114860535,-0.37037062644958496
dtr,RF,K,0.13690784573554993,0.15296423435211182,-0.017507662996649742
dtr,CNN,K,0.175270214676857,0.1944618821144104,-0.03256342001259327
dtr,RNN,K,0.11682944744825363,0.16542589664459229,-0.01715492643415928
pr,RF,mm/day,0.5013893842697144,0.535854160785675,-0.02236410602927208
pr,CNN,mm/day,0.5191345810890198,0.5669624209403992,-0.041619669646024704
pr,RNN,mm/day,0.37590500712394714,0.5476517677307129,-0.029638009145855904
pr90,RF,mm/day,1.4714590311050415,1.5397733449935913,-0.051382794976234436
pr90,CNN,mm/day,1.5316295623779297,1.6496117115020752,-0.08754010871052742
pr90,RNN,mm/day,1.0968855619430542,1.5785974264144897,-0.060878776013851166
