target,unit,model,gain_gm,gain_field,rmse_late_raw,rmse_late_cal,rmse_late_improvement,gm_mae_late_raw,gm_mae_late_cal,gm_mae_late_improvement
tas,K,RF,1.2420672,1.2420671798563139,0.41248834133148193,4.8497467041015625,-4.437258362770081,0.1568257063627243,0.20178428292274475,-0.04495857656002045
tas,K,CNN,2.1052332,2.1052332127823776,0.8835857510566711,7.389554500579834,-6.505968749523163,0.6402046084403992,0.10103239119052887,0.5391722172498703
tas,K,RNN,0.6399693,0.6399693081301457,0.6308810114860535,6.539483070373535,-5.908602058887482,0.4065302014350891,0.2347663789987564,0.1717638224363327
dtr,K,RF,2.0528827,2.0528826091940355,0.15296423435211182,1.8242799043655396,-1.6713156700134277,0.01856268011033535,0.011730718426406384,0.0068319616839289665
dtr,K,CNN,1.876859,1.8768590003302392,0.1944618821144104,2.30111026763916,-2.1066483855247498,0.03256341814994812,0.00993270892649889,0.02263070922344923
dtr,K,RNN,1.6332856,1.6332856785764174,0.16542589664459229,1.9747257232666016,-1.8092998266220093,0.01795269176363945,0.009254460223019123,0.008698231540620327
pr,mm/day,RF,1.4085556,1.4085556862130835,0.535854160785675,6.42492151260376,-5.889067351818085,0.02325463853776455,0.01073108334094286,0.01252355519682169
pr,mm/day,CNN,3.3625398,3.362539809401425,0.5669624209403992,6.784787178039551,-6.217824757099152,0.041619669646024704,0.016338855028152466,0.025280814617872238
pr,mm/day,RNN,1.3843061,1.3843060876709208,0.5476517677307129,6.561944484710693,-6.0142927169799805,0.029967356473207474,0.013131390325725079,0.016835966147482395
pr90,mm/day,RF,1.6531103,1.6531102975054104,1.5397733449935913,18.467735290527344,-16.927961945533752,0.055670395493507385,0.037057098001241684,0.0186132974922657
pr90,mm/day,CNN,5.1577487,5.15774856862031,1.6496117115020752,19.768003463745117,-18.118391752243042,0.08754010498523712,0.07283294200897217,0.014707162976264954
pr90,mm/day,RNN,1.4597961,1.4597960334714644,1.5785974264144897,18.92917251586914,-17.35057508945465,0.06486713886260986,0.039415143430233,0.02545199543237686
