target,unit,model,std_truth_full,std_pred_full,ratio_std_full,ratio_std_early,ratio_std_late,detrended_corr_pred_vs_truth,detrended_ratio_std,bias_late_raw,gm_mae_late_raw,calib_gain_early_period,std_late_calibrated,bias_late_calibrated,gm_mae_late_calibrated
tas,K,RF,0.4275907576084137,0.4250167906284332,0.9939803025809606,0.8051094306474493,1.502017258005253,-0.16992988663622433,0.9997159503314432,-0.08792281150817871,0.1568257063627243,1.2420671798563139,0.4158259332180023,-1.472585324790998e-07,0.20178428292274475
tas,K,CNN,0.4275907576084137,0.24951224029064178,0.583530480607685,0.4750067564620795,0.6127965718246537,0.4662013771832287,0.14149117416440254,-0.6402045488357544,0.6402046084403992,2.1052332127823776,0.2875464856624603,-1.472585324790998e-07,0.10103239119052887
tas,K,RNN,0.4275907576084137,0.2324916422367096,0.5437246668685592,1.5625749349164688,0.4213102242503106,0.31327062292609176,2.3397632044514047,-0.37037062644958496,0.4065302014350891,0.6399693081301457,0.06009698286652565,-9.116004662246269e-08,0.2347663789987564
dtr,K,RF,0.017447762191295624,0.0049014100804924965,0.28091912457046914,0.4871199139792028,0.07184463568753796,0.0736341688068875,0.37648631101233043,-0.017507662996649742,0.01856268011033535,2.0528826091940355,0.0019229742465540767,-3.2139759742477736e-09,0.011730718426406384
dtr,K,CNN,0.017447762191295624,0.007505228742957115,0.43015423185337426,0.5328050747680283,0.06040164627128707,-0.039554932779006305,0.3685455055252331,-0.03256341814994812,0.03256341814994812,1.8768590003302392,0.0014780713245272636,4.090515037802334e-09,0.00993270892649889
dtr,K,RNN,0.017447762191295624,0.007073573302477598,0.4054143577224177,0.6122627615712682,0.14021212142424885,0.2183056178432514,0.3741640655904192,-0.01715492643415928,0.01795269176363945,1.6332856785764174,0.0029858138877898455,-3.944425230884008e-09,0.009254460223019123
pr,mm/day,RF,0.02480284869670868,0.009660253301262856,0.38948160428623524,0.7099470825243057,0.23828755060574636,-0.06531422509182797,0.36949613085566274,-0.02236410602927208,0.02325463853776455,1.4085556862130835,0.005543060600757599,-7.304490901027805e-10,0.01073108334094286
pr,mm/day,CNN,0.02480284869670868,0.013273278251290321,0.5351513615874162,0.2973942485986546,0.512096711888283,0.09884856381879635,0.14003778823503835,-0.041619669646024704,0.041619669646024704,3.362539809401425,0.028437647968530655,-1.7530777940422126e-09,0.016338855028152466
pr,mm/day,RNN,0.02480284869670868,0.006829140242189169,0.2753369310798316,0.7223835890821578,0.021572706620040863,0.106906472869955,0.4969186554179294,-0.029638009145855904,0.029967356473207474,1.3843060876709208,0.0004931861185468733,-1.6069879871238868e-09,0.013131390325725079
pr90,mm/day,RF,0.06594125926494598,0.02451849915087223,0.3718233382889934,0.6049203138526377,0.14244629278752777,-0.017386864695055494,0.2904377572753292,-0.051382794976234436,0.055670395493507385,1.6531102975054104,0.011669011786580086,5.843592831844546e-10,0.037057098001241684
pr90,mm/day,CNN,0.06594125926494598,0.029930461198091507,0.45389580865954704,0.19388304542101759,0.39090565536751876,0.039640627443190295,0.09485353096269387,-0.08754010498523712,0.08754010498523712,5.15774856862031,0.09991097450256348,6.720131562332199e-09,0.07283294200897217
pr90,mm/day,RNN,0.06594125926494598,0.019960099831223488,0.30269515707950956,0.6850272072749455,0.006585810915422229,0.16773459758315099,0.415476373325657,-0.060878776013851166,0.06486713886260986,1.4597960334714644,0.0004764122422784567,-1.460898180205561e-09,0.039415143430233
