target,rank,lat,lon,region_rule,unit,abs_error_late_mean
tas,1,71.05263157894737,347.5,land,K,1.7853445280199687
tas,2,71.05263157894737,350.0,land,K,1.6468806478914042
tas,3,71.05263157894737,345.0,land,K,1.54995484668299
tas,4,78.63157894736841,50.0,land,K,1.5396979365951442
tas,5,78.63157894736841,47.5,land,K,1.5261984217892637
dtr,1,21.78947368421052,97.5,ocean-like,K,1.7435644434665232
dtr,2,4.73684210526315,12.5,ocean-like,K,1.0214119259546621
dtr,3,31.263157894736835,115.0,ocean-like,K,0.9449655881111126
dtr,4,-31.263157894736842,27.5,ocean-like,K,0.8663671905661791
dtr,5,4.73684210526315,15.0,ocean-like,K,0.8640305344357211
pr,1,-2.8421052631579045,175.0,ocean-like,mm/day,2.7356764799481095
pr,2,-2.8421052631579045,172.5,ocean-like,mm/day,2.7310424841390843
pr,3,-2.8421052631579045,177.5,ocean-like,mm/day,2.7139507430580245
pr,4,-2.8421052631579045,170.0,ocean-like,mm/day,2.6651360143135427
pr,5,-0.9473684210526301,172.5,ocean-like,mm/day,2.650000520928127
pr90,1,-0.9473684210526301,175.0,ocean-like,mm/day,6.979547883848057
pr90,2,-2.8421052631579045,180.0,ocean-like,mm/day,6.977157829746636
pr90,3,-2.8421052631579045,175.0,ocean-like,mm/day,6.966089169454292
pr90,4,-2.8421052631579045,177.5,ocean-like,mm/day,6.878462189407635
pr90,5,-0.9473684210526301,177.5,ocean-like,mm/day,6.878297945255637
